date,granted,denied
2026-07-01,194,54
2026-07-02,274,64
2026-07-03,200,59
2026-07-04,254,64
2026-07-05,264,59
2026-07-06,255,75
2026-07-07,214,67
2026-07-08,218,72
2026-07-09,253,77
2026-07-10,275,65
2026-07-11,247,65
2026-07-12,236,56
2026-07-13,222,73
2026-07-14,223,54
2026-07-15,253,62
2026-07-16,226,57
2026-07-17,235,72
2026-07-18,244,64
2026-07-19,245,66
2026-07-20,190,66
2026-07-21,207,75
2026-07-22,251,78
2026-07-23,239,62
2026-07-24,264,76
2026-07-25,191,71
2026-07-26,207,71
2026-07-27,232,78
2026-07-28,255,58
2026-07-29,204,61
2026-07-30,257,65
2026-07-31,225,60
