date,metric,value
2026-08-01,sessions,300
2026-08-01,conversions,9
2026-08-01,revenue,1275.85
2026-08-01,phone_calls,0
2026-08-02,sessions,314
2026-08-02,conversions,7
2026-08-02,revenue,1306.58
2026-08-02,phone_calls,0
2026-08-03,sessions,358
2026-08-03,conversions,6
2026-08-03,revenue,1398.3
2026-08-03,phone_calls,0
2026-08-04,sessions,302
2026-08-04,conversions,9
2026-08-04,revenue,1130.4
2026-08-04,phone_calls,0
2026-08-05,sessions,307
2026-08-05,conversions,7
2026-08-05,revenue,1316.32
2026-08-05,phone_calls,0
2026-08-06,sessions,317
2026-08-06,conversions,7
2026-08-06,revenue,1434.93
2026-08-06,phone_calls,0
2026-08-07,sessions,268
2026-08-07,conversions,8
2026-08-07,revenue,1443.88
2026-08-07,phone_calls,0
2026-08-08,sessions,308
2026-08-08,conversions,7
2026-08-08,revenue,1085.34
2026-08-08,phone_calls,0
2026-08-09,sessions,322
2026-08-09,conversions,9
2026-08-09,revenue,1316.26
2026-08-09,phone_calls,0
2026-08-10,sessions,342
2026-08-10,conversions,7
2026-08-10,revenue,1299.08
2026-08-10,phone_calls,0
2026-08-11,sessions,257
2026-08-11,conversions,9
2026-08-11,revenue,1242.63
2026-08-11,phone_calls,0
2026-08-12,sessions,282
2026-08-12,conversions,7
2026-08-12,revenue,1472.36
2026-08-12,phone_calls,0
2026-08-13,sessions,256
2026-08-13,conversions,8
2026-08-13,revenue,1254.98
2026-08-13,phone_calls,0
2026-08-14,sessions,344
2026-08-14,conversions,9
2026-08-14,revenue,1213.77
2026-08-14,phone_calls,0
2026-08-15,sessions,330
2026-08-15,conversions,8
2026-08-15,revenue,1461.12
2026-08-15,phone_calls,0
2026-08-16,sessions,250
2026-08-16,conversions,9
2026-08-16,revenue,1308.26
2026-08-16,phone_calls,0
2026-08-17,sessions,365
2026-08-17,conversions,9
2026-08-17,revenue,1142.31
2026-08-17,phone_calls,0
2026-08-18,sessions,363
2026-08-18,conversions,6
2026-08-18,revenue,1146.27
2026-08-18,phone_calls,0
2026-08-19,sessions,325
2026-08-19,conversions,9
2026-08-19,revenue,1239.01
2026-08-19,phone_calls,0
2026-08-20,sessions,320
2026-08-20,conversions,8
2026-08-20,revenue,1018.86
2026-08-20,phone_calls,0
2026-08-21,sessions,264
2026-08-21,conversions,7
2026-08-21,revenue,1294.35
2026-08-21,phone_calls,0
2026-08-22,sessions,247
2026-08-22,conversions,7
2026-08-22,revenue,1358.02
2026-08-22,phone_calls,0
2026-08-23,sessions,310
2026-08-23,conversions,9
2026-08-23,revenue,1204.28
2026-08-23,phone_calls,0
2026-08-24,sessions,252
2026-08-24,conversions,8
2026-08-24,revenue,1412.98
2026-08-24,phone_calls,0
2026-08-25,sessions,268
2026-08-25,conversions,9
2026-08-25,revenue,1453.39
2026-08-25,phone_calls,0
2026-08-26,sessions,275
2026-08-26,conversions,9
2026-08-26,revenue,1268.55
2026-08-26,phone_calls,0
2026-08-27,sessions,249
2026-08-27,conversions,9
2026-08-27,revenue,1330.96
2026-08-27,phone_calls,0
2026-08-28,sessions,305
2026-08-28,conversions,13
2026-08-28,revenue,1050.96
2026-08-28,phone_calls,0
